data_source,target_dx,label,path_idx,total_findings,total_correct_findings,consecutive_correct_findings,total_wave_groundings,total_measurement_groundings,total_lead_groundings,total_correct_wave_groundings,total_correct_measurement_groundings,total_correct_lead_groundings,consecutive_correct_wave_groundings,consecutive_correct_measurement_groundings,consecutive_correct_lead_groundings,average_depth_finding,total_accuracy_finding,average_depth_wave_grounding,total_accuracy_wave_grounding,average_depth_lead_grounding,total_accuracy_lead_grounding,average_depth_measurement_grounding,total_accuracy_measurement_grounding
ptbxl,anterior_ischemia,negative,400,400,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,anterior_ischemia,positive,100,300,150.0,100.0,200.0,0.0,200.0,50.0,0.0,172.0,13.0,0.0,50.0,0.3333333333333333,0.5,0.065,0.25,0.25,0.86,0.0,0.0
ptbxl,anterior_myocardial_infarction,negative,400,400,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,anterior_myocardial_infarction,positive,100,300,150.0,100.0,200.0,0.0,200.0,47.0,0.0,200.0,16.0,0.0,50.0,0.3333333333333333,0.5,0.08,0.235,0.25,1.0,0.0,0.0
ptbxl,complete_left_bundle_branch_block,negative,700,550,275.0,107.0,350.0,200.0,50.0,89.0,66.0,49.0,34.0,12.0,1.0,0.19454545454545455,0.5,0.09714285714285714,0.2542857142857143,0.02,0.98,0.06,0.33
ptbxl,complete_left_bundle_branch_block,positive,100,900,450.0,100.0,800.0,200.0,400.0,204.0,47.0,387.0,23.0,0.0,0.0,0.1111111111111111,0.5,0.02875,0.255,0.0,0.9675,0.0,0.235
ptbxl,complete_right_bundle_branch_block,negative,728,472,236.0,138.0,264.0,64.0,192.0,61.0,6.0,137.0,16.0,0.0,70.0,0.2923728813559322,0.5,0.06060606060606061,0.23106060606060605,0.3645833333333333,0.7135416666666666,0.0,0.09375
ptbxl,complete_right_bundle_branch_block,positive,170,630,315.0,122.0,600.0,200.0,370.0,149.0,49.0,353.0,22.0,0.0,102.0,0.19365079365079366,0.5,0.03666666666666667,0.24833333333333332,0.2756756756756757,0.9540540540540541,0.0,0.245
ptbxl,first_degree_av_block,negative,222,378,189.0,100.0,200.0,178.0,0.0,52.0,35.0,0.0,3.0,0.0,0.0,0.26455026455026454,0.5,0.015,0.26,0.0,0.0,0.0,0.19662921348314608
ptbxl,first_degree_av_block,positive,0,400,200.0,200.0,200.0,200.0,0.0,47.0,60.0,0.0,27.0,3.0,0.0,0.5,0.5,0.135,0.235,0.0,0.0,0.015,0.3
ptbxl,inferior_ischemia,negative,400,400,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,inferior_ischemia,positive,54,346,173.0,100.0,200.0,0.0,200.0,42.0,0.0,185.0,5.0,0.0,27.0,0.28901734104046245,0.5,0.025,0.21,0.135,0.925,0.0,0.0
ptbxl,inferior_myocardial_infarction,negative,400,400,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,inferior_myocardial_infarction,positive,100,300,150.0,100.0,200.0,0.0,200.0,53.0,0.0,200.0,8.0,0.0,50.0,0.3333333333333333,0.5,0.04,0.265,0.25,1.0,0.0,0.0
ptbxl,lateral_ischemia,negative,400,400,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,lateral_ischemia,positive,100,300,150.0,100.0,200.0,0.0,200.0,50.0,0.0,143.0,18.0,0.0,50.0,0.3333333333333333,0.5,0.09,0.25,0.25,0.715,0.0,0.0
ptbxl,lateral_myocardial_infarction,negative,400,400,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,lateral_myocardial_infarction,positive,36,364,182.0,100.0,200.0,0.0,200.0,53.0,0.0,167.0,4.0,0.0,18.0,0.27472527472527475,0.5,0.02,0.265,0.09,0.835,0.0,0.0
ptbxl,left_anterior_fascicular_block,negative,442,350,175.0,100.0,236.0,200.0,36.0,56.0,36.0,24.0,33.0,6.0,0.0,0.2857142857142857,0.5,0.13983050847457626,0.23728813559322035,0.0,0.6666666666666666,0.03,0.18
ptbxl,left_anterior_fascicular_block,positive,0,600,300.0,105.0,600.0,200.0,400.0,154.0,65.0,397.0,28.0,5.0,5.0,0.175,0.5,0.04666666666666667,0.25666666666666665,0.0125,0.9925,0.025,0.325
ptbxl,left_posterior_fascicular_block,negative,414,262,131.0,100.0,216.0,200.0,16.0,56.0,51.0,12.0,24.0,6.0,0.0,0.3816793893129771,0.5,0.1111111111111111,0.25925925925925924,0.0,0.75,0.03,0.255
ptbxl,left_posterior_fascicular_block,positive,0,186,93.0,31.0,186.0,62.0,124.0,43.0,23.0,121.0,8.0,0.0,0.0,0.16666666666666666,0.5,0.043010752688172046,0.23118279569892472,0.0,0.9758064516129032,0.0,0.3709677419354839
ptbxl,left_ventricular_hypertrophy,negative,1700,1150,575.0,103.0,1000.0,1200.0,200.0,268.0,392.0,112.0,21.0,6.0,0.0,0.08956521739130435,0.5,0.021,0.268,0.0,0.56,0.005,0.32666666666666666
ptbxl,left_ventricular_hypertrophy,positive,672,944,472.0,106.0,1072.0,1200.0,272.0,272.0,375.0,157.0,37.0,9.0,1.0,0.11228813559322035,0.5,0.03451492537313433,0.2537313432835821,0.003676470588235294,0.5772058823529411,0.0075,0.3125
ptbxl,premature_atrial_complex,negative,300,300,150.0,108.0,100.0,100.0,0.0,22.0,28.0,0.0,8.0,0.0,0.0,0.36,0.5,0.08,0.22,0.0,0.0,0.0,0.28
ptbxl,premature_atrial_complex,positive,0,400,200.0,100.0,200.0,200.0,0.0,52.0,79.0,0.0,29.0,0.0,0.0,0.25,0.5,0.145,0.26,0.0,0.0,0.0,0.395
ptbxl,premature_ventricular_complex,negative,300,300,150.0,100.0,100.0,100.0,0.0,26.0,35.0,0.0,15.0,0.0,0.0,0.3333333333333333,0.5,0.15,0.26,0.0,0.0,0.0,0.35
ptbxl,premature_ventricular_complex,positive,0,400,200.0,124.0,200.0,200.0,0.0,47.0,71.0,0.0,24.0,4.0,0.0,0.31,0.5,0.12,0.235,0.0,0.0,0.02,0.355
ptbxl,right_ventricular_hypertrophy,negative,816,544,272.0,136.0,340.0,340.0,0.0,84.0,105.0,0.0,11.0,1.0,0.0,0.25,0.5,0.03235294117647059,0.24705882352941178,0.0,0.0,0.0029411764705882353,0.3088235294117647
ptbxl,right_ventricular_hypertrophy,positive,96,128,64.0,52.0,70.0,70.0,0.0,20.0,30.0,0.0,7.0,3.0,0.0,0.40625,0.5,0.1,0.2857142857142857,0.0,0.0,0.04285714285714286,0.42857142857142855
ptbxl,second_degree_av_block,negative,500,400,200.0,100.0,100.0,0.0,0.0,65.0,0.0,0.0,50.0,0.0,0.0,0.25,0.5,0.5,0.65,0.0,0.0,0.0,0.0
ptbxl,second_degree_av_block,positive,6,18,9.0,3.0,12.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.16666666666666666,0.5,0.25,0.4166666666666667,0.0,0.0,0.0,0.0
ptbxl,third_degree_av_block,negative,612,476,238.0,136.0,0.0,136.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.0,0.0,0.0,0.0,0.5514705882352942
ptbxl,third_degree_av_block,positive,18,78,39.0,20.0,18.0,20.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.2564102564102564,0.5,0.0,0.2222222222222222,0.0,0.0,0.05,0.55
